2025-08-12 09:39:05.951 [COMUM] -> Deletado:  C:\Users\samue\Documents\2000012533333306_250804200931 - Copia - Copia - Copia - Copia (2) - Copia - Copia - Copia.pdf
2025-08-12 09:39:12.883 [COMUM] -> Criado:    C:\Users\samue\Documents\Novo(a) Documento de Texto.txt
2025-08-12 09:39:17.249 [COMUM] -> Renomeado: C:\Users\samue\Documents\Novo(a) Documento de Texto.txt -> C:\Users\samue\Documents\hgfj.txt
2025-08-12 09:39:38.958 [COMUM] -> Criado:    C:\Users\samue\Documents\hgfj - Copia.txt
2025-08-12 09:39:38.967 [COMUM] -> Alterado:  C:\Users\samue\Documents\hgfj - Copia.txt
2025-08-12 09:39:53.756 [COMUM] -> Criado:    C:\Users\samue\Documents\2000012533333306_250804200931 - Copia - Copia - Copia - Copia (2) - Copia - Copia - Copia - Copia - Copia.pdf
2025-08-12 09:39:53.759 [COMUM] -> Alterado:  C:\Users\samue\Documents\2000012533333306_250804200931 - Copia - Copia - Copia - Copia (2) - Copia - Copia - Copia - Copia - Copia.pdf
2025-08-12 09:39:53.763 [COMUM] -> Alterado:  C:\Users\samue\Documents\2000012533333306_250804200931 - Copia - Copia - Copia - Copia (2) - Copia - Copia - Copia - Copia - Copia.pdf
2025-08-12 10:00:45.586 [COMUM] -> Criado:    C:\Users\samue\Documents\testestes - Copia
2025-08-12 10:00:45.589 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia
2025-08-12 10:00:45.594 [COMUM] -> Criado:    C:\Users\samue\Documents\testestes - Copia\Novo(a) Documento de Texto - Copia.txt
2025-08-12 10:00:45.651 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Novo(a) Documento de Texto - Copia.txt
2025-08-12 10:00:45.655 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Novo(a) Documento de Texto - Copia.txt
2025-08-12 10:00:45.878 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia
2025-08-12 10:00:46.004 [COMUM] -> Criado:    C:\Users\samue\Documents\testestes - Copia\Novo(a) Documento de Texto.txt
2025-08-12 10:00:46.012 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Novo(a) Documento de Texto.txt
2025-08-12 10:00:46.438 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Novo(a) Documento de Texto.txt
2025-08-12 10:00:46.672 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia
2025-08-12 10:00:46.712 [COMUM] -> Criado:    C:\Users\samue\Documents\testestes - Copia\Nova pasta
2025-08-12 10:00:46.724 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Nova pasta
2025-08-12 10:00:46.737 [COMUM] -> Criado:    C:\Users\samue\Documents\testestes - Copia\Nova pasta\jgv.txt
2025-08-12 10:00:46.791 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Nova pasta\jgv.txt
2025-08-12 10:00:46.807 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia
2025-08-12 10:00:47.077 [COMUM] -> Alterado:  C:\Users\samue\Documents\testestes - Copia\Nova pasta
